id,name,country,normal_month,tavg,tmin,tmax,prcp,wspd,pres,tsun,latitude,longitude
01028,Bjornoya,NO,4,-3.6,-5.7,-1.4,31.5,,1010.9,,74.5167,19.0167
01028,Bjornoya,NO,5,-0.1,-1.7,1.5,25.0,,1014.7,,74.5167,19.0167
01028,Bjornoya,NO,6,3.0,1.5,4.5,19.6,,1013.2,,74.5167,19.0167
01028,Bjornoya,NO,7,5.5,3.8,7.2,26.9,,1012.5,,74.5167,19.0167
01028,Bjornoya,NO,8,5.8,4.2,7.3,32.1,,1011.1,,74.5167,19.0167
01028,Bjornoya,NO,9,4.1,2.7,5.5,46.7,,1007.6,,74.5167,19.0167
01028,Bjornoya,NO,10,0.6,-1.0,2.2,40.3,,1007.1,,74.5167,19.0167
01028,Bjornoya,NO,11,-1.6,-3.5,0.2,46.6,,1003.8,,74.5167,19.0167
01028,Bjornoya,NO,12,-3.4,-5.7,-1.2,49.2,,1001.6,,74.5167,19.0167
01051,Suolovuopmi,NO,1,,,,37.1,,,,69.5833,23.5333
01051,Suolovuopmi,NO,2,,,,32.1,,,,69.5833,23.5333
01051,Suolovuopmi,NO,3,,,,33.1,,,,69.5833,23.5333
01051,Suolovuopmi,NO,4,,,,27.7,,,,69.5833,23.5333
01051,Suolovuopmi,NO,5,,,,24.0,,,,69.5833,23.5333
01051,Suolovuopmi,NO,6,,,,47.0,,,,69.5833,23.5333
01051,Suolovuopmi,NO,7,,,,62.0,,,,69.5833,23.5333
01051,Suolovuopmi,NO,8,,,,68.1,,,,69.5833,23.5333
01051,Suolovuopmi,NO,9,,,,38.9,,,,69.5833,23.5333
01051,Suolovuopmi,NO,10,,,,49.0,,,,69.5833,23.5333
01051,Suolovuopmi,NO,11,,,,41.1,,,,69.5833,23.5333
01051,Suolovuopmi,NO,12,,,,37.0,,,,69.5833,23.5333
01065,Karasjok,NO,1,-14.7,-20.3,-9.1,20.8,,1008.6,,69.4667,25.5
01065,Karasjok,NO,2,-14.4,-20.0,-8.8,20.9,,1009.4,,69.4667,25.5
01065,Karasjok,NO,3,-8.4,-14.3,-2.5,18.3,,1005.8,,69.4667,25.5
01065,Karasjok,NO,4,-2.4,-7.4,2.7,19.1,,1010.7,,69.4667,25.5
01065,Karasjok,NO,5,4.2,0.0,8.5,28.6,,1013.9,,69.4667,25.5
01065,Karasjok,NO,6,10.4,5.7,15.2,54.1,,1012.9,,69.4667,25.5
01065,Karasjok,NO,7,13.8,8.9,18.6,65.3,,1011.8,,69.4667,25.5
01065,Karasjok,NO,8,11.3,6.4,16.2,54.0,,1011.5,,69.4667,25.5
01065,Karasjok,NO,9,6.4,2.2,10.6,36.7,,1008.8,,69.4667,25.5
